id,description,code
1919,Thyroid Function Test,PR1919
215,Thyroid Function Test,PR0215
378,Thyroid Function Test,PR0378
1671,MRI of the Brain,PR1671
1341,Lipid Panel,PR1341
151,Complete Blood Count (CBC),PR0151
1871,Thyroid Function Test,PR1871
933,Thyroid Function Test,PR0933
1292,Liver Function Test,PR1292
872,Stress Test,PR0872
1429,Electrocardiogram (ECG),PR1429
1555,MRI of the Brain,PR1555
1648,Chest X-Ray,PR1648
758,Liver Function Test,PR0758
103,Liver Function Test,PR0103
1192,Chest X-Ray,PR1192
1272,Basic Metabolic Panel,PR1272
237,Thyroid Function Test,PR0237
448,Thyroid Function Test,PR0448
978,Abdominal Ultrasound,PR0978
385,CT Scan of the Abdomen,PR0385
1186,Kidney Function Test,PR1186
124,Liver Function Test,PR0124
1799,Complete Blood Count (CBC),PR1799
1856,Complete Blood Count (CBC),PR1856
1089,Stress Test,PR1089
1958,Stress Test,PR1958
84,Kidney Function Test,PR0084
173,Chest X-Ray,PR0173
1357,CT Scan of the Abdomen,PR1357
1159,Liver Function Test,PR1159
1005,Lipid Panel,PR1005
1392,MRI of the Brain,PR1392
1775,Basic Metabolic Panel,PR1775
811,Lipid Panel,PR0811
1992,Chest X-Ray,PR1992
1470,MRI of the Brain,PR1470
393,Kidney Function Test,PR0393
476,Electrocardiogram (ECG),PR0476
1290,Thyroid Function Test,PR1290
81,Chest X-Ray,PR0081
718,Thyroid Function Test,PR0718
1149,Liver Function Test,PR1149
1297,Abdominal Ultrasound,PR1297
1522,Liver Function Test,PR1522
760,Complete Blood Count (CBC),PR0760
1478,MRI of the Brain,PR1478
992,CT Scan of the Abdomen,PR0992
179,Complete Blood Count (CBC),PR0179
1485,MRI of the Brain,PR1485
897,Complete Blood Count (CBC),PR0897
1536,Chest X-Ray,PR1536
1244,Kidney Function Test,PR1244
48,Electrocardiogram (ECG),PR0048
1664,Liver Function Test,PR1664
127,Basic Metabolic Panel,PR0127
624,Basic Metabolic Panel,PR0624
344,Electrocardiogram (ECG),PR0344
649,Thyroid Function Test,PR0649
1747,Basic Metabolic Panel,PR1747
162,Lipid Panel,PR0162
1862,Abdominal Ultrasound,PR1862
1427,CT Scan of the Abdomen,PR1427
1633,Lipid Panel,PR1633
1205,Complete Blood Count (CBC),PR1205
1187,Kidney Function Test,PR1187
338,Abdominal Ultrasound,PR0338
638,Stress Test,PR0638
1785,Kidney Function Test,PR1785
388,Stress Test,PR0388
150,Thyroid Function Test,PR0150
668,Complete Blood Count (CBC),PR0668
524,Abdominal Ultrasound,PR0524
174,Liver Function Test,PR0174
1320,Stress Test,PR1320
180,Liver Function Test,PR0180
544,Liver Function Test,PR0544
1364,Kidney Function Test,PR1364
1196,Basic Metabolic Panel,PR1196
621,MRI of the Brain,PR0621
270,Basic Metabolic Panel,PR0270
1802,Kidney Function Test,PR1802
963,Lipid Panel,PR0963
1531,Lipid Panel,PR1531
20,MRI of the Brain,PR0020
111,Kidney Function Test,PR0111
327,Lipid Panel,PR0327
157,CT Scan of the Abdomen,PR0157
1579,Kidney Function Test,PR1579
451,MRI of the Brain,PR0451
1422,Abdominal Ultrasound,PR1422
1604,Chest X-Ray,PR1604
1094,Thyroid Function Test,PR1094
1517,CT Scan of the Abdomen,PR1517
309,Chest X-Ray,PR0309
715,Basic Metabolic Panel,PR0715
592,Basic Metabolic Panel,PR0592
1681,Chest X-Ray,PR1681
669,Chest X-Ray,PR0669
645,Thyroid Function Test,PR0645
620,CT Scan of the Abdomen,PR0620
1120,Chest X-Ray,PR1120
599,Stress Test,PR0599
1126,Lipid Panel,PR1126
1254,Kidney Function Test,PR1254
1953,Lipid Panel,PR1953
914,Stress Test,PR0914
1513,Basic Metabolic Panel,PR1513
1750,Complete Blood Count (CBC),PR1750
846,Kidney Function Test,PR0846
1691,Kidney Function Test,PR1691
770,Basic Metabolic Panel,PR0770
122,Basic Metabolic Panel,PR0122
1328,Complete Blood Count (CBC),PR1328
946,Liver Function Test,PR0946
886,Lipid Panel,PR0886
286,Basic Metabolic Panel,PR0286
1296,MRI of the Brain,PR1296
1823,Complete Blood Count (CBC),PR1823
1545,CT Scan of the Abdomen,PR1545
737,Basic Metabolic Panel,PR0737
593,Liver Function Test,PR0593
990,MRI of the Brain,PR0990
60,Chest X-Ray,PR0060
582,Electrocardiogram (ECG),PR0582
1026,Kidney Function Test,PR1026
308,Stress Test,PR0308
1003,Electrocardiogram (ECG),PR1003
1401,Complete Blood Count (CBC),PR1401
997,Basic Metabolic Panel,PR0997
257,CT Scan of the Abdomen,PR0257
1514,Lipid Panel,PR1514
1984,Stress Test,PR1984
835,Lipid Panel,PR0835
536,Thyroid Function Test,PR0536
1515,CT Scan of the Abdomen,PR1515
525,Lipid Panel,PR0525
422,Kidney Function Test,PR0422
1705,Complete Blood Count (CBC),PR1705
412,Abdominal Ultrasound,PR0412
434,Electrocardiogram (ECG),PR0434
463,Liver Function Test,PR0463
1882,Lipid Panel,PR1882
1646,MRI of the Brain,PR1646
650,Kidney Function Test,PR0650
1375,Electrocardiogram (ECG),PR1375
377,MRI of the Brain,PR0377
301,Complete Blood Count (CBC),PR0301
375,Chest X-Ray,PR0375
1098,MRI of the Brain,PR1098
296,Thyroid Function Test,PR0296
998,Complete Blood Count (CBC),PR0998
100,Stress Test,PR0100
320,Liver Function Test,PR0320
808,Lipid Panel,PR0808
1963,Thyroid Function Test,PR1963
470,Kidney Function Test,PR0470
1804,Abdominal Ultrasound,PR1804
1397,CT Scan of the Abdomen,PR1397
714,Kidney Function Test,PR0714
1854,Abdominal Ultrasound,PR1854
142,Electrocardiogram (ECG),PR0142
943,Basic Metabolic Panel,PR0943
392,Electrocardiogram (ECG),PR0392
1419,Liver Function Test,PR1419
1317,Liver Function Test,PR1317
1183,Liver Function Test,PR1183
1913,Liver Function Test,PR1913
673,Electrocardiogram (ECG),PR0673
1253,Electrocardiogram (ECG),PR1253
1350,Basic Metabolic Panel,PR1350
1872,Chest X-Ray,PR1872
968,CT Scan of the Abdomen,PR0968
178,Chest X-Ray,PR0178
1683,Abdominal Ultrasound,PR1683
542,Thyroid Function Test,PR0542
1080,Abdominal Ultrasound,PR1080
443,Chest X-Ray,PR0443
1902,Basic Metabolic Panel,PR1902
1620,Liver Function Test,PR1620
1449,Chest X-Ray,PR1449
293,Kidney Function Test,PR0293
1349,Complete Blood Count (CBC),PR1349
1261,Kidney Function Test,PR1261
1727,MRI of the Brain,PR1727
849,Chest X-Ray,PR0849
1,Chest X-Ray,PR0001
1231,Electrocardiogram (ECG),PR1231
1658,MRI of the Brain,PR1658
135,Thyroid Function Test,PR0135
1240,MRI of the Brain,PR1240
1915,CT Scan of the Abdomen,PR1915
1749,CT Scan of the Abdomen,PR1749
1745,Electrocardiogram (ECG),PR1745
271,Complete Blood Count (CBC),PR0271
1884,Stress Test,PR1884
1067,Liver Function Test,PR1067
250,Kidney Function Test,PR0250
1052,Basic Metabolic Panel,PR1052
376,CT Scan of the Abdomen,PR0376
762,MRI of the Brain,PR0762
708,Kidney Function Test,PR0708
43,Basic Metabolic Panel,PR0043
1843,Chest X-Ray,PR1843
839,Lipid Panel,PR0839
973,Basic Metabolic Panel,PR0973
567,Complete Blood Count (CBC),PR0567
1368,Stress Test,PR1368
830,Abdominal Ultrasound,PR0830
1179,Abdominal Ultrasound,PR1179
77,MRI of the Brain,PR0077
486,Chest X-Ray,PR0486
512,Kidney Function Test,PR0512
302,Basic Metabolic Panel,PR0302
144,Abdominal Ultrasound,PR0144
431,CT Scan of the Abdomen,PR0431
123,Thyroid Function Test,PR0123
312,Complete Blood Count (CBC),PR0312
993,Basic Metabolic Panel,PR0993
1635,Chest X-Ray,PR1635
692,Basic Metabolic Panel,PR0692
87,CT Scan of the Abdomen,PR0087
881,Liver Function Test,PR0881
1147,Lipid Panel,PR1147
1376,Thyroid Function Test,PR1376
803,CT Scan of the Abdomen,PR0803
577,Liver Function Test,PR0577
695,Liver Function Test,PR0695
1554,Complete Blood Count (CBC),PR1554
1499,Liver Function Test,PR1499
495,Basic Metabolic Panel,PR0495
1263,MRI of the Brain,PR1263
566,Kidney Function Test,PR0566
2,MRI of the Brain,PR0002
1216,MRI of the Brain,PR1216
372,Stress Test,PR0372
406,Liver Function Test,PR0406
367,Liver Function Test,PR0367
445,MRI of the Brain,PR0445
1908,MRI of the Brain,PR1908
104,Stress Test,PR0104
1977,Electrocardiogram (ECG),PR1977
359,MRI of the Brain,PR0359
1072,Complete Blood Count (CBC),PR1072
1624,Complete Blood Count (CBC),PR1624
480,Lipid Panel,PR0480
99,Thyroid Function Test,PR0099
745,Thyroid Function Test,PR0745
987,MRI of the Brain,PR0987
1230,Electrocardiogram (ECG),PR1230
609,Electrocardiogram (ECG),PR0609
399,MRI of the Brain,PR0399
1204,Electrocardiogram (ECG),PR1204
1060,Lipid Panel,PR1060
1756,Electrocardiogram (ECG),PR1756
1535,Electrocardiogram (ECG),PR1535
6,Kidney Function Test,PR0006
508,Lipid Panel,PR0508
1944,Lipid Panel,PR1944
453,Complete Blood Count (CBC),PR0453
305,Liver Function Test,PR0305
1883,Electrocardiogram (ECG),PR1883
1695,Electrocardiogram (ECG),PR1695
1771,Lipid Panel,PR1771
1504,Basic Metabolic Panel,PR1504
1184,Chest X-Ray,PR1184
452,Complete Blood Count (CBC),PR0452
1228,Abdominal Ultrasound,PR1228
1165,CT Scan of the Abdomen,PR1165
1631,Electrocardiogram (ECG),PR1631
351,Complete Blood Count (CBC),PR0351
1923,Basic Metabolic Panel,PR1923
614,Kidney Function Test,PR0614
652,Liver Function Test,PR0652
1280,Stress Test,PR1280
1987,Electrocardiogram (ECG),PR1987
479,Chest X-Ray,PR0479
1692,CT Scan of the Abdomen,PR1692
1834,Basic Metabolic Panel,PR1834
1423,Electrocardiogram (ECG),PR1423
1690,Lipid Panel,PR1690
1163,Kidney Function Test,PR1163
1173,Thyroid Function Test,PR1173
402,MRI of the Brain,PR0402
1896,CT Scan of the Abdomen,PR1896
1180,Kidney Function Test,PR1180
1451,Stress Test,PR1451
1653,Abdominal Ultrasound,PR1653
1415,Kidney Function Test,PR1415
1576,Thyroid Function Test,PR1576
1433,CT Scan of the Abdomen,PR1433
855,MRI of the Brain,PR0855
244,Kidney Function Test,PR0244
473,Complete Blood Count (CBC),PR0473
1133,CT Scan of the Abdomen,PR1133
1955,Thyroid Function Test,PR1955
289,Kidney Function Test,PR0289
458,Chest X-Ray,PR0458
340,Stress Test,PR0340
1327,MRI of the Brain,PR1327
1490,MRI of the Brain,PR1490
1886,Thyroid Function Test,PR1886
765,Electrocardiogram (ECG),PR0765
149,Lipid Panel,PR0149
288,Thyroid Function Test,PR0288
1816,Lipid Panel,PR1816
948,Abdominal Ultrasound,PR0948
1334,Complete Blood Count (CBC),PR1334
1206,Kidney Function Test,PR1206
1102,Stress Test,PR1102
1269,MRI of the Brain,PR1269
1027,Chest X-Ray,PR1027
114,Stress Test,PR0114
710,Abdominal Ultrasound,PR0710
261,Thyroid Function Test,PR0261
1907,CT Scan of the Abdomen,PR1907
348,Chest X-Ray,PR0348
1779,MRI of the Brain,PR1779
1929,Liver Function Test,PR1929
596,Liver Function Test,PR0596
1413,Chest X-Ray,PR1413
560,Chest X-Ray,PR0560
570,CT Scan of the Abdomen,PR0570
1991,Electrocardiogram (ECG),PR1991
1495,MRI of the Brain,PR1495
1976,Chest X-Ray,PR1976
199,Basic Metabolic Panel,PR0199
1832,MRI of the Brain,PR1832
7,MRI of the Brain,PR0007
1073,Stress Test,PR1073
1878,Electrocardiogram (ECG),PR1878
165,Liver Function Test,PR0165
724,Electrocardiogram (ECG),PR0724
907,Liver Function Test,PR0907
727,Basic Metabolic Panel,PR0727
1770,Complete Blood Count (CBC),PR1770
1704,MRI of the Brain,PR1704
1840,Electrocardiogram (ECG),PR1840
1645,Abdominal Ultrasound,PR1645
642,Basic Metabolic Panel,PR0642
1990,Lipid Panel,PR1990
539,Stress Test,PR0539
945,CT Scan of the Abdomen,PR0945
276,Lipid Panel,PR0276
229,Basic Metabolic Panel,PR0229
1926,Complete Blood Count (CBC),PR1926
1999,CT Scan of the Abdomen,PR1999
394,Abdominal Ultrasound,PR0394
1960,Electrocardiogram (ECG),PR1960
267,Basic Metabolic Panel,PR0267
788,Complete Blood Count (CBC),PR0788
423,Chest X-Ray,PR0423
121,Basic Metabolic Panel,PR0121
689,Abdominal Ultrasound,PR0689
57,Stress Test,PR0057
1140,Chest X-Ray,PR1140
1988,MRI of the Brain,PR1988
69,Electrocardiogram (ECG),PR0069
648,Kidney Function Test,PR0648
647,Electrocardiogram (ECG),PR0647
1271,Kidney Function Test,PR1271
1842,Basic Metabolic Panel,PR1842
1441,Electrocardiogram (ECG),PR1441
1893,Thyroid Function Test,PR1893
3,Complete Blood Count (CBC),PR0003
414,Stress Test,PR0414
618,Thyroid Function Test,PR0618
140,Chest X-Ray,PR0140
749,Basic Metabolic Panel,PR0749
1283,CT Scan of the Abdomen,PR1283
965,Liver Function Test,PR0965
798,Liver Function Test,PR0798
1284,Chest X-Ray,PR1284
1002,Thyroid Function Test,PR1002
910,CT Scan of the Abdomen,PR0910
1906,Lipid Panel,PR1906
262,Stress Test,PR0262
719,Kidney Function Test,PR0719
1063,Stress Test,PR1063
844,CT Scan of the Abdomen,PR0844
802,Lipid Panel,PR0802
1612,Electrocardiogram (ECG),PR1612
1203,Basic Metabolic Panel,PR1203
1818,CT Scan of the Abdomen,PR1818
953,Abdominal Ultrasound,PR0953
1270,Liver Function Test,PR1270
1660,Electrocardiogram (ECG),PR1660
1806,Liver Function Test,PR1806
256,Thyroid Function Test,PR0256
691,Stress Test,PR0691
1145,MRI of the Brain,PR1145
1119,Complete Blood Count (CBC),PR1119
1839,Chest X-Ray,PR1839
753,Abdominal Ultrasound,PR0753
1518,Thyroid Function Test,PR1518
