id,description,code
262,Stress Test,PR0262
1377,CT Scan of the Abdomen,PR1377
1691,Kidney Function Test,PR1691
1212,Stress Test,PR1212
85,Basic Metabolic Panel,PR0085
948,Abdominal Ultrasound,PR0948
294,Kidney Function Test,PR0294
704,Complete Blood Count (CBC),PR0704
1719,Chest X-Ray,PR1719
1862,Abdominal Ultrasound,PR1862
65,Thyroid Function Test,PR0065
470,Kidney Function Test,PR0470
1883,Electrocardiogram (ECG),PR1883
136,Liver Function Test,PR0136
7,MRI of the Brain,PR0007
1569,Complete Blood Count (CBC),PR1569
1649,Stress Test,PR1649
1813,Electrocardiogram (ECG),PR1813
980,Chest X-Ray,PR0980
359,MRI of the Brain,PR0359
1708,Thyroid Function Test,PR1708
127,Basic Metabolic Panel,PR0127
688,Chest X-Ray,PR0688
1724,CT Scan of the Abdomen,PR1724
929,Stress Test,PR0929
959,Thyroid Function Test,PR0959
1892,Chest X-Ray,PR1892
402,MRI of the Brain,PR0402
796,Stress Test,PR0796
1729,Chest X-Ray,PR1729
1579,Kidney Function Test,PR1579
1222,Liver Function Test,PR1222
277,Thyroid Function Test,PR0277
1165,CT Scan of the Abdomen,PR1165
1453,MRI of the Brain,PR1453
1216,MRI of the Brain,PR1216
1337,Chest X-Ray,PR1337
1376,Thyroid Function Test,PR1376
827,Liver Function Test,PR0827
1995,Electrocardiogram (ECG),PR1995
23,Lipid Panel,PR0023
1224,Electrocardiogram (ECG),PR1224
1510,Lipid Panel,PR1510
392,Electrocardiogram (ECG),PR0392
1276,Electrocardiogram (ECG),PR1276
1996,Kidney Function Test,PR1996
90,Lipid Panel,PR0090
738,Electrocardiogram (ECG),PR0738
1760,Basic Metabolic Panel,PR1760
1725,Chest X-Ray,PR1725
763,Kidney Function Test,PR0763
700,Liver Function Test,PR0700
1047,Stress Test,PR1047
486,Chest X-Ray,PR0486
1805,Complete Blood Count (CBC),PR1805
399,MRI of the Brain,PR0399
1317,Liver Function Test,PR1317
1816,Lipid Panel,PR1816
949,Stress Test,PR0949
1564,Basic Metabolic Panel,PR1564
1879,Basic Metabolic Panel,PR1879
808,Lipid Panel,PR0808
1119,Complete Blood Count (CBC),PR1119
1865,Lipid Panel,PR1865
1303,Liver Function Test,PR1303
1152,Abdominal Ultrasound,PR1152
1636,Abdominal Ultrasound,PR1636
978,Abdominal Ultrasound,PR0978
267,Basic Metabolic Panel,PR0267
1728,MRI of the Brain,PR1728
1866,CT Scan of the Abdomen,PR1866
1354,Stress Test,PR1354
954,Complete Blood Count (CBC),PR0954
101,Chest X-Ray,PR0101
1614,Abdominal Ultrasound,PR1614
910,CT Scan of the Abdomen,PR0910
107,Thyroid Function Test,PR0107
123,Thyroid Function Test,PR0123
1020,CT Scan of the Abdomen,PR1020
121,Basic Metabolic Panel,PR0121
1323,CT Scan of the Abdomen,PR1323
686,CT Scan of the Abdomen,PR0686
521,Basic Metabolic Panel,PR0521
69,Electrocardiogram (ECG),PR0069
1915,CT Scan of the Abdomen,PR1915
414,Stress Test,PR0414
1022,Lipid Panel,PR1022
886,Lipid Panel,PR0886
875,Basic Metabolic Panel,PR0875
1660,Electrocardiogram (ECG),PR1660
625,Chest X-Ray,PR0625
114,Stress Test,PR0114
913,Stress Test,PR0913
1772,Stress Test,PR1772
1131,Basic Metabolic Panel,PR1131
427,MRI of the Brain,PR0427
1241,Kidney Function Test,PR1241
1908,MRI of the Brain,PR1908
1688,Kidney Function Test,PR1688
1980,Complete Blood Count (CBC),PR1980
1698,Complete Blood Count (CBC),PR1698
1228,Abdominal Ultrasound,PR1228
1247,Lipid Panel,PR1247
1758,CT Scan of the Abdomen,PR1758
1253,Electrocardiogram (ECG),PR1253
1466,Thyroid Function Test,PR1466
473,Complete Blood Count (CBC),PR0473
1266,Kidney Function Test,PR1266
734,Thyroid Function Test,PR0734
1038,Basic Metabolic Panel,PR1038
963,Lipid Panel,PR0963
650,Kidney Function Test,PR0650
367,Liver Function Test,PR0367
306,Basic Metabolic Panel,PR0306
752,Kidney Function Test,PR0752
807,Electrocardiogram (ECG),PR0807
1006,Complete Blood Count (CBC),PR1006
736,Abdominal Ultrasound,PR0736
1517,CT Scan of the Abdomen,PR1517
1274,Lipid Panel,PR1274
1847,Liver Function Test,PR1847
84,Kidney Function Test,PR0084
329,Chest X-Ray,PR0329
1596,Thyroid Function Test,PR1596
856,Kidney Function Test,PR0856
1141,Thyroid Function Test,PR1141
70,Liver Function Test,PR0070
692,Basic Metabolic Panel,PR0692
1462,Basic Metabolic Panel,PR1462
478,Abdominal Ultrasound,PR0478
1630,MRI of the Brain,PR1630
1310,Chest X-Ray,PR1310
333,CT Scan of the Abdomen,PR0333
1916,Chest X-Ray,PR1916
586,Abdominal Ultrasound,PR0586
1380,Abdominal Ultrasound,PR1380
1419,Liver Function Test,PR1419
1960,Electrocardiogram (ECG),PR1960
1540,Thyroid Function Test,PR1540
1287,Electrocardiogram (ECG),PR1287
1369,Abdominal Ultrasound,PR1369
1406,MRI of the Brain,PR1406
1514,Lipid Panel,PR1514
